"Sector","Company","ESS"
1,1,18666.01
1,2,19542.85
1,3,19109.78
1,4,17194.58
1,5,19039.26
1,6,18766.03
1,7,19514.78
1,8,20119.71
1,9,18351.11
1,10,18757.2
2,1,20841.14
2,2,17483.89
2,3,21380.88
2,4,20333.51
2,5,19953
2,6,20570.1
2,7,19281.65
2,8,18900.15
2,9,19228.93
2,10,16455.19
3,1,22889.75
3,2,22572.03
3,3,15346.98
3,4,21617.9
3,5,20081.37
3,6,22865.94
3,7,22776.69
3,8,20352.31
3,9,16919.21
3,10,22950.06
4,1,16925.31
4,2,16864.02
4,3,17852.89
4,4,18504.41
4,5,18735.69
4,6,18093.78
4,7,18742.57
4,8,17756.82
4,9,19359.74
4,10,19325.21
5,1,18969.19
5,2,20471.45
5,3,20869.53
5,4,15762.23
5,5,18459.43
5,6,22217.63
5,7,21740.11
5,8,21629.1
5,9,21496.73
5,10,21047.21
